#nif;cups;fecha_alta;direccion;potencia;tarifa;descuento
00857527K;ES3032268927178731QL6U;13/07/2022;Las Palmas;5.5;0.12;0.02
43710116O;ES9532183135052886BD3W;13/12/2023;L'Hospitalet de Llobregat;3;0.11;0.03
65570298O;ES4861253847426749GS4M;20/11/2021;Mataró;3;0.11;0.03
65763713Y;ES2558473478924480CU4V;22/06/2021;Pamplona;3.5;0.09;0.05
74030912W;ES5235320198441968PQ2O;25/04/2024;Badajoz;3.5;0.09;0.05
53838567H;ES8693448508845061KR1B;26/07/2023;Melilla;4;0.14;0
69857918H;ES9360259584975478DZ1B;27/05/2023;León;4;0.14;0
70965950G;ES9642694164847829PY5L;27/06/2021;Getafe;4.5;0.10;0.01
68706027C;ES2154623496916440VY8R;01/04/2023;Gijón;4.5;0.10;0.01
72634534L;ES4551283327331829SC1C;26/07/2023;Logroño;5;0.12;0.02
40770757D;ES8838856416841267UY2Z;11/04/2022;Vigo;5;0.12;0.02
54557148J;ES0519486382650381RG7L;26/05/2023;Las Palmas;5.5;0.11;0.03
41714377N;ES5731586598245516SD6F;15/09/2023;Santander;5.5;0.11;0.03
64622154O;ES1423787144732357NV4K;05/02/2024;Fuenlabrada;3;0.09;0.05
21523660O;ES5767379262466636HA0R;06/10/2023;Las Palmas;3;0.09;0.05
22044087D;ES0455035867250353LM2X;20/05/2023;Ceuta;3.5;0.14;0
78525733J;ES8273524227294612TL7F;14/11/2021;Oviedo;3.5;0.14;0
64967880P;ES8811476151974211RD5W;30/01/2022;Huelva;4;0.10;0.01
31847294J;ES7667570448446548FD8G;26/03/2023;Cuenca;4;0.10;0.01
81098117M;ES3432885749637530AM4I;04/02/2022;Palma de Mallorca;4.5;0.12;0.02
47610771T;ES5246700111164653LB8X;08/11/2021;L'Hospitalet de Llobregat;4.5;0.12;0.02
04284316N;ES5422753924797886PB7H;27/06/2021;Logroño;5;0.11;0.03
12662226Q;ES3218703654719422LE1I;06/03/2024;Palma de Mallorca;5;0.11;0.03
57846942D;ES8234583440721786GF2G;24/11/2023;A Coruña;5.5;0.09;0.05
06846706E;ES7485033847148166LI8I;08/06/2023;Ceuta;5.5;0.09;0.05
14254514V;ES6657862671780421DE7I;23/05/2024;Santander;3;0.14;0
40556438B;ES4581514443652832VE3P;17/03/2023;Lleida;3;0.14;0
17771926J;ES4461148152725357XI7B;16/05/2022;Pamplona;3.5;0.10;0.01
48880418V;ES9214678241182821ZX2V;03/11/2022;Pamplona;3.5;0.10;0.01
86478739F;ES7454881582564723WA5H;08/08/2023;Oviedo;4;0.12;0.02
05432376X;ES8283814158128253DT6T;12/05/2022;Soria;4;0.12;0.02
58163722C;ES8202770101251193FQ3G;03/09/2021;Logroño;4.5;0.11;0.03
51627183P;ES3346546675534324ZS4O;21/11/2023;Salamanca;4.5;0.11;0.03
82048713K;ES3397750215253122OM5F;22/05/2022;Burgos;5;0.09;0.05
61422538J;ES2712169524676087GF2R;04/08/2023;Melilla;5;0.09;0.05
95314852P;ES8212314878114862UV8C;02/12/2022;Ourense;5.5;0.14;0
42555191J;ES7553826039558942YI5P;11/01/2023;Valéncia;5.5;0.14;0
92673788F;ES2830140756129827RW0N;10/05/2024;Palma de Mallorca;3;0.10;0.01
81882035I;ES4242447203576747JB2F;04/09/2021;Ciudad Real;3;0.10;0.01
46837416B;ES3567895324089101AU7T;21/01/2024;Pamplona;3.5;0.12;0.02
56108434R;ES6158406455793441US7W;02/04/2024;Santander;3.5;0.12;0.02
20374593S;ES1231013567849658SD1F;07/10/2022;Marbella;4;0.11;0.03
77590164J;ES6157630250403441UX6H;28/09/2023;Alcobendas;4;0.11;0.03
60542638G;ES1196124227822755VQ1S;22/10/2022;Salamanca;4.5;0.09;0.05
56394234G;ES0691175748705319IN3H;16/04/2024;Logroño;4.5;0.09;0.05
81883193Q;ES5559354185112384NT6E;19/05/2024;Cáceres;5;0.14;0
35515154V;ES5081437269129147JJ2H;21/04/2023;Santa Cruz de Tenerife;5;0.14;0
63666586L;ES4585675293502798MG7I;13/11/2021;Torrevieja;5.5;0.10;0.01
58146861C;ES5152351687637224LK1S;28/05/2022;Móstoles;5.5;0.10;0.01
34922133S;ES3227453710901186DO3Q;05/06/2022;A Coruña;3;0.12;0.02
74813666F;ES9235343781472160ON8Y;30/05/2022;Donosti;3;0.12;0.02
64757181D;ES8568924298119065MN3E;18/05/2023;Gijón;3.5;0.11;0.03
66986812W;ES2458543146117321HG5E;01/04/2024;Bilbo;3.5;0.11;0.03
48379726O;ES3613681951518220RJ8G;31/12/2022;Zaragoza;4;0.09;0.05
08641798K;ES9342265144752456PV2D;23/12/2022;Albacete;4;0.09;0.05
37821263Q;ES5273467934682269OV8K;07/06/2024;Pontevedra;4.5;0.14;0
24374178B;ES9784980717725120MF6B;15/03/2022;Pamplona;4.5;0.14;0
66134267R;ES6447991787121330QK9N;28/04/2024;Pamplona;5;0.10;0.01
26081170K;ES5039257261401847BE8R;26/03/2023;Badajoz;5;0.10;0.01
01737142K;ES9287233514854813HC2W;15/11/2021;Melilla;5.5;0.12;0.02
84514721B;ES7166860042744797CP3F;08/08/2023;San Cristóbal de la Laguna;5.5;0.12;0.02
35453123I;ES2349536073546885UD1P;05/04/2022;Pamplona;3;0.11;0.03
89677632J;ES6814774843440016BO2T;13/01/2022;Bilbo;3;0.11;0.03
52698623N;ES6944634834926550DI1K;17/09/2023;Dos Hermanas;3.5;0.09;0.05
67846324W;ES0568775069301793CX7B;21/08/2022;Logroño;3.5;0.09;0.05
19524756L;ES2141254837678527XS2K;13/10/2022;A Coruña;4;0.14;0
41382905S;ES5544580005735385CB1J;12/08/2023;Lugo;4;0.14;0
82424841M;ES6519825242198022IW4U;04/07/2021;Pamplona;4.5;0.10;0.01
42952378S;ES8987774322561383II6G;25/05/2023;Pamplona;4.5;0.10;0.01
16622248F;ES0458272855852666WD4J;27/04/2022;Valladolid;5;0.12;0.02
78528172D;ES7210590421005745RK5F;23/12/2022;Fuenlabrada;5;0.12;0.02
46444690V;ES0343461386636068MA8J;27/11/2022;Huesca;5.5;0.11;0.03
58167062W;ES2518975628086711PD4N;07/09/2023;Ceuta;5.5;0.11;0.03
33892733L;ES7637430516353974SS4S;09/11/2022;Logroño;3;0.09;0.05
80733383D;ES8653316748451789JU3D;30/01/2023;Reus;3;0.09;0.05
95041185R;ES7673659852020649YL6M;03/10/2023;Cáceres;3.5;0.14;0
36615733H;ES3318747477885182AM8V;21/11/2022;Gasteiz;3.5;0.14;0
